site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape,stage,seed
1,chronos2_baseline,0.0695754588,0.1518158764,0.0695754588,0.1518158764,1.0000000000,"[2545, 24]",4A,2023
2,chronos2_baseline,0.0642672479,0.1453535110,0.0642672479,0.1453535110,1.0000000000,"[2545, 24]",4A,2023
3,chronos2_baseline,0.0655679703,0.1446676403,0.0655679703,0.1446676403,1.0000000000,"[2545, 24]",4A,2023
4,chronos2_baseline,0.0681890026,0.1318674684,0.0681890026,0.1318674684,1.0000000000,"[2545, 24]",4A,2023
5,chronos2_baseline,0.0651458725,0.1418315768,0.0651458725,0.1418315768,1.0000000000,"[2545, 24]",4A,2023
6,chronos2_baseline,0.0737863928,0.1485624909,0.0737863928,0.1485624909,1.0000000000,"[2545, 24]",4A,2023
7,chronos2_baseline,0.0721924976,0.1380827278,0.0721924976,0.1380827278,1.0000000000,"[2545, 24]",4A,2023
8,chronos2_baseline,0.0576778241,0.1122439206,0.0576778241,0.1122439206,1.0000000000,"[2545, 24]",4A,2023
9,chronos2_baseline,0.0684688762,0.1349769235,0.0684688762,0.1349769235,1.0000000000,"[2545, 24]",4A,2023
0,fusion_aligned,0.0484389737,0.0938234851,0.0484389737,0.0938234851,1.0000000000,"[2545, 24]",4A,2023
1,fusion_aligned,0.0550981686,0.1055237800,0.0550981686,0.1055237800,1.0000000000,"[2545, 24]",4A,2023
2,fusion_aligned,0.0474893451,0.0954967737,0.0474893451,0.0954967737,1.0000000000,"[2545, 24]",4A,2023
3,fusion_aligned,0.0475465804,0.0984571278,0.0475465804,0.0984571278,1.0000000000,"[2545, 24]",4A,2023
4,fusion_aligned,0.0513451472,0.0985528678,0.0513451472,0.0985528678,1.0000000000,"[2545, 24]",4A,2023
5,fusion_aligned,0.0505017340,0.0995909795,0.0505017340,0.0995909795,1.0000000000,"[2545, 24]",4A,2023
6,fusion_aligned,0.0577744953,0.1138421744,0.0577744953,0.1138421744,1.0000000000,"[2545, 24]",4A,2023
7,fusion_aligned,0.0574687570,0.1058270633,0.0574687570,0.1058270633,1.0000000000,"[2545, 24]",4A,2023
8,fusion_aligned,0.0432602316,0.0817670971,0.0432602316,0.0817670971,1.0000000000,"[2545, 24]",4A,2023
9,fusion_aligned,0.0492387041,0.0968581513,0.0492387041,0.0968581513,1.0000000000,"[2545, 24]",4A,2023
0,fusion_shuffled,0.0769586265,0.1666379720,0.0769586265,0.1666379720,1.0000000000,"[2545, 24]",4A,2023
1,fusion_shuffled,0.0833041072,0.1802400351,0.0833041072,0.1802400351,1.0000000000,"[2545, 24]",4A,2023
2,fusion_shuffled,0.0823893398,0.1761143357,0.0823893398,0.1761143357,1.0000000000,"[2545, 24]",4A,2023
3,fusion_shuffled,0.0817397386,0.1719905138,0.0817397386,0.1719905138,1.0000000000,"[2545, 24]",4A,2023
4,fusion_shuffled,0.0855630413,0.1901345253,0.0855630413,0.1901345253,1.0000000000,"[2545, 24]",4A,2023
5,fusion_shuffled,0.0816347823,0.1714900583,0.0816347823,0.1714900583,1.0000000000,"[2545, 24]",4A,2023
6,fusion_shuffled,0.0864066556,0.1748846322,0.0864066556,0.1748846322,1.0000000000,"[2545, 24]",4A,2023
7,fusion_shuffled,0.0917731375,0.1958578080,0.0917731375,0.1958578080,1.0000000000,"[2545, 24]",4A,2023
