horizon,aligned_mae,aligned_rmse,shuffled_mae,shuffled_rmse,raw24_mae,raw24_rmse,zero_mae,zero_rmse
29,0.3191394805908203,0.4077496826648712,0.21444633603096008,0.24135740101337433,0.11052914708852768,0.1472398340702057,0.213878333568573,0.24032671749591827
30,0.2741164565086365,0.3397876024246216,0.21421107649803162,0.2411695122718811,0.11172565817832947,0.14804667234420776,0.21402817964553833,0.24039842188358307
31,0.29198208451271057,0.3729524314403534,0.2140997350215912,0.24086032807826996,0.11334394663572311,0.14908628165721893,0.2141292840242386,0.24045860767364502
32,0.36374494433403015,0.433194637298584,0.21388930082321167,0.24069726467132568,0.11465156823396683,0.15005278587341309,0.21434509754180908,0.24056850373744965
33,0.3521063029766083,0.42125755548477173,0.21385584771633148,0.24085694551467896,0.1152702122926712,0.15048474073410034,0.21445338428020477,0.24063418805599213
34,0.30122295022010803,0.36428195238113403,0.21386387944221497,0.24076683819293976,0.11455953866243362,0.14991168677806854,0.21447937190532684,0.24065512418746948
35,0.32029131054878235,0.42271286249160767,0.21377041935920715,0.2407282590866089,0.11352015286684036,0.14932703971862793,0.21449844539165497,0.24067024886608124
36,0.2835768163204193,0.40253615379333496,0.2142808735370636,0.24097615480422974,0.11311430484056473,0.14912773668766022,0.21448880434036255,0.2406664937734604
37,0.27349889278411865,0.359668105840683,0.21467263996601105,0.24114689230918884,0.11314478516578674,0.1492389589548111,0.21447555720806122,0.2406584620475769
38,0.2630879580974579,0.3381684422492981,0.21472984552383423,0.2411530762910843,0.1136561781167984,0.14956124126911163,0.2144337147474289,0.24063438177108765
39,0.2361987829208374,0.2911631464958191,0.21468350291252136,0.2411048263311386,0.1146724745631218,0.15018771588802338,0.21440167725086212,0.24061726033687592
40,0.26140841841697693,0.31532102823257446,0.21459002792835236,0.24129916727542877,0.1154598742723465,0.15079140663146973,0.21438652276992798,0.24060797691345215
41,0.2924657464027405,0.35954174399375916,0.21535243093967438,0.24187928438186646,0.11534887552261353,0.1506454348564148,0.2143794745206833,0.24060535430908203
42,0.31969141960144043,0.3988381326198578,0.2155059278011322,0.24239954352378845,0.11435973644256592,0.1499209702014923,0.21437664330005646,0.24060526490211487
43,0.3996405005455017,0.4998786449432373,0.21516528725624084,0.24239052832126617,0.11322705447673798,0.14926527440547943,0.21437662839889526,0.24060527980327606
44,0.3763812780380249,0.4663228690624237,0.21539241075515747,0.24243968725204468,0.11259385198354721,0.1488577127456665,0.21437659859657288,0.24060527980327606
45,0.2551235556602478,0.32008296251296997,0.21515798568725586,0.24173150956630707,0.11233925074338913,0.14861240983009338,0.21437658369541168,0.24060525000095367
46,0.2665410339832306,0.3368203639984131,0.21489642560482025,0.24136701226234436,0.11144983023405075,0.14790578186511993,0.214360773563385,0.24059231579303741
47,0.29243284463882446,0.3719494938850403,0.21452155709266663,0.24097275733947754,0.10910069942474365,0.14648666977882385,0.21427501738071442,0.24054190516471863
48,0.27355676889419556,0.3372759521007538,0.21454398334026337,0.24099573493003845,0.10607296973466873,0.14433906972408295,0.2142307013273239,0.24050910770893097
49,0.23500807583332062,0.2900572121143341,0.2145473212003708,0.24141302704811096,0.10895714908838272,0.14739927649497986,0.21419142186641693,0.2404855191707611
50,0.2645702362060547,0.3254473805427551,0.21493643522262573,0.24191904067993164,0.11545936018228531,0.15309889614582062,0.2142161875963211,0.2404993623495102
51,0.22717760503292084,0.28513801097869873,0.2146143913269043,0.24184468388557434,0.11989538371562958,0.15723872184753418,0.21430110931396484,0.240553081035614
52,0.2574635446071625,0.35986393690109253,0.21468044817447662,0.24151219427585602,0.12234848737716675,0.1598183810710907,0.21434488892555237,0.2405780553817749
53,0.25388193130493164,0.336718887090683,0.21505789458751678,0.2416953593492508,0.12362643331289291,0.161065012216568,0.2144804298877716,0.24065490067005157
54,0.2516803741455078,0.3099483251571655,0.21445909142494202,0.2414686232805252,0.12514959275722504,0.16208656132221222,0.2146570086479187,0.2407514750957489
55,0.2826690673828125,0.3527604639530182,0.2146115005016327,0.24113814532756805,0.12674081325531006,0.16294707357883453,0.21475380659103394,0.24081167578697205
