horizon,aligned_mae,aligned_rmse,shuffled_mae,shuffled_rmse,raw24_mae,raw24_rmse,zero_mae,zero_rmse
23,0.396973580121994,0.44685354828834534,0.2352742999792099,0.27114203572273254,0.10621274262666702,0.16559644043445587,0.2402433156967163,0.27283337712287903
24,0.45357969403266907,0.5191315412521362,0.23533794283866882,0.2713449001312256,0.10308101773262024,0.16694745421409607,0.24112728238105774,0.273788720369339
25,0.40590476989746094,0.4713819622993469,0.2360331267118454,0.27229034900665283,0.10533656179904938,0.17121148109436035,0.24159376323223114,0.27423685789108276
26,0.3606037199497223,0.4228176176548004,0.24139897525310516,0.2777237594127655,0.11313328146934509,0.18152783811092377,0.24386842548847198,0.27755504846572876
27,0.4779609441757202,0.5350767374038696,0.24838806688785553,0.2837035059928894,0.11812150478363037,0.18910500407218933,0.24606400728225708,0.2806730270385742
28,0.5889694094657898,0.6392666697502136,0.25156164169311523,0.28718605637550354,0.12101413309574127,0.19399307668209076,0.24781040847301483,0.28291529417037964
29,0.5410211086273193,0.5848859548568726,0.25339558720588684,0.29081112146377563,0.12444576621055603,0.1982557326555252,0.2491934895515442,0.2845615744590759
30,0.4616210162639618,0.5010998845100403,0.25361642241477966,0.2914794683456421,0.12698008120059967,0.1999679058790207,0.249051034450531,0.2845156192779541
31,0.3311760425567627,0.3635718822479248,0.2508566081523895,0.28711965680122375,0.12727047502994537,0.20053264498710632,0.24776627123355865,0.28402259945869446
32,0.2062671035528183,0.23901432752609253,0.24830354750156403,0.28430986404418945,0.12778909504413605,0.20189079642295837,0.24806532263755798,0.28408387303352356
33,0.1949295997619629,0.22387757897377014,0.24667638540267944,0.2830376625061035,0.12719330191612244,0.20241940021514893,0.24624648690223694,0.2825919985771179
34,0.13854266703128815,0.17396093904972076,0.24218644201755524,0.280246764421463,0.12742461264133453,0.20273169875144958,0.24359609186649323,0.27981939911842346
35,0.20049713551998138,0.24675221741199493,0.2369726151227951,0.2760692238807678,0.12846407294273376,0.20403513312339783,0.2414715737104416,0.27643001079559326
36,0.28636452555656433,0.34751448035240173,0.2356143593788147,0.2711898684501648,0.12941820919513702,0.20552079379558563,0.23977400362491608,0.2727808952331543
37,0.2797357141971588,0.35395821928977966,0.23781025409698486,0.26873987913131714,0.12992137670516968,0.20656050741672516,0.23848897218704224,0.2696180045604706
38,0.24214816093444824,0.31520041823387146,0.23981939256191254,0.2687034606933594,0.13015051186084747,0.20719905197620392,0.23764456808567047,0.26750460267066956
39,0.22356826066970825,0.2896347641944885,0.23956990242004395,0.26826611161231995,0.13075968623161316,0.20784467458724976,0.23777149617671967,0.2668594419956207
40,0.1247006207704544,0.18859659135341644,0.24393777549266815,0.27153873443603516,0.13145281374454498,0.20853649079799652,0.2392459660768509,0.26766785979270935
41,0.16112563014030457,0.19392307102680206,0.24866540729999542,0.2747739553451538,0.13257157802581787,0.20958144962787628,0.24194301664829254,0.2690254747867584
42,0.14637532830238342,0.17889562249183655,0.2504009008407593,0.27616429328918457,0.13393789529800415,0.21071593463420868,0.24340663850307465,0.2698991298675537
43,0.12150513380765915,0.16060680150985718,0.2509653568267822,0.27615857124328613,0.13511255383491516,0.21179959177970886,0.24441879987716675,0.2705029845237732
44,0.11607970297336578,0.16777561604976654,0.24913084506988525,0.27432766556739807,0.13573886454105377,0.2127283662557602,0.24484963715076447,0.2707502245903015
45,0.11715389788150787,0.19399191439151764,0.24456626176834106,0.2712734043598175,0.13609281182289124,0.21278882026672363,0.24474681913852692,0.27063795924186707
46,0.1628446877002716,0.21837010979652405,0.23951376974582672,0.26813700795173645,0.13481572270393372,0.2101481407880783,0.24335291981697083,0.26996850967407227
47,0.25683146715164185,0.2964778244495392,0.23664340376853943,0.2669089138507843,0.134157195687294,0.20800192654132843,0.2441263496875763,0.2708236575126648
48,0.2759172022342682,0.3271315097808838,0.2384570986032486,0.2693661153316498,0.12942957878112793,0.20509043335914612,0.24559077620506287,0.2727341949939728
49,0.18164828419685364,0.24759285151958466,0.239943265914917,0.2708842158317566,0.12604674696922302,0.20125524699687958,0.24551750719547272,0.27267077565193176
50,0.14989514648914337,0.21753115952014923,0.2424568384885788,0.27309033274650574,0.1293850988149643,0.20145903527736664,0.2464299201965332,0.273713082075119
51,0.1273176074028015,0.17130763828754425,0.2456952929496765,0.2755035161972046,0.13130803406238556,0.201404869556427,0.24652443826198578,0.2737990617752075
52,0.1683463752269745,0.1983964592218399,0.24828732013702393,0.2782716751098633,0.13270173966884613,0.202366903424263,0.24684786796569824,0.2741139531135559
53,0.1719575673341751,0.20970508456230164,0.24833349883556366,0.27906534075737,0.13291415572166443,0.20281296968460083,0.24625840783119202,0.27369409799575806
54,0.19292643666267395,0.2489084154367447,0.2474040687084198,0.2776515483856201,0.1327083259820938,0.20272782444953918,0.24522672593593597,0.27306345105171204
55,0.23117461800575256,0.30682042241096497,0.24333034455776215,0.274734228849411,0.13120771944522858,0.20196832716464996,0.24308563768863678,0.2722008228302002
56,0.28055059909820557,0.3756702244281769,0.24235646426677704,0.2718583047389984,0.13023962080478668,0.20093709230422974,0.24290989339351654,0.27196452021598816
57,0.2366597056388855,0.3221692442893982,0.23913930356502533,0.27048784494400024,0.1284770667552948,0.199385404586792,0.24076023697853088,0.27056363224983215
58,0.21612603962421417,0.29766446352005005,0.23598046600818634,0.2671135365962982,0.12744025886058807,0.19788753986358643,0.23806141316890717,0.2681424021720886
59,0.30893972516059875,0.3620879054069519,0.23268041014671326,0.26469770073890686,0.12741021811962128,0.19708408415317535,0.23515324294567108,0.26471859216690063
60,0.4382615387439728,0.48495495319366455,0.23143324255943298,0.2607583701610565,0.12764683365821838,0.1970711499452591,0.23269256949424744,0.26110967993736267
61,0.4228391647338867,0.4769189953804016,0.2317943125963211,0.2592005431652069,0.12822400033473969,0.19749142229557037,0.23084670305252075,0.25803342461586
62,0.3610020875930786,0.4155573844909668,0.23494848608970642,0.26179516315460205,0.12888140976428986,0.19807617366313934,0.23003645241260529,0.2565004527568817
63,0.30539536476135254,0.3557010293006897,0.23978501558303833,0.26590171456336975,0.12969563901424408,0.19894051551818848,0.23041661083698273,0.25634709000587463
64,0.15579946339130402,0.2107398360967636,0.24221207201480865,0.2673605978488922,0.13010382652282715,0.19957570731639862,0.2321370393037796,0.2574566900730133
65,0.1414836049079895,0.1881067156791687,0.2448521852493286,0.2699110209941864,0.13071280717849731,0.20032809674739838,0.23487013578414917,0.2589075565338135
66,0.14655077457427979,0.19273656606674194,0.24871137738227844,0.2723099887371063,0.13154740631580353,0.20120513439178467,0.23664571344852448,0.26008105278015137
67,0.1254449188709259,0.17979152500629425,0.2469290941953659,0.2717505097389221,0.13239997625350952,0.20191338658332825,0.23769690096378326,0.26081347465515137
68,0.12839046120643616,0.19244639575481415,0.24330775439739227,0.2664063572883606,0.13230569660663605,0.20215372741222382,0.2381047159433365,0.26108813285827637
69,0.13126204907894135,0.20333410799503326,0.24041502177715302,0.26425060629844666,0.13187794387340546,0.2021285444498062,0.2380155622959137,0.26098909974098206
70,0.1703367531299591,0.22695192694664001,0.23418059945106506,0.26074111461639404,0.13192115724086761,0.2019653171300888,0.23669840395450592,0.26031026244163513
71,0.26050159335136414,0.29999205470085144,0.23201975226402283,0.259411484003067,0.13148006796836853,0.20565782487392426,0.23750488460063934,0.2612425684928894
72,0.25332334637641907,0.30561521649360657,0.23030512034893036,0.26005229353904724,0.1302168369293213,0.21186527609825134,0.23926787078380585,0.2637805938720703
