window_id,t_origin,aligned_mae,shuffled_mae,raw24_mae,zero_mae
w382,2013-11-05 14:00:00,0.15487240254878998,0.2774624824523926,0.06003354489803314,0.26733478903770447
w383,2013-11-05 15:00:00,0.14879685640335083,0.26187288761138916,0.06039092317223549,0.26718008518218994
w384,2013-11-05 16:00:00,0.17117033898830414,0.289808064699173,0.06313072890043259,0.2668023407459259
w385,2013-11-05 17:00:00,0.18006785213947296,0.25505614280700684,0.0656837448477745,0.26628759503364563
w386,2013-11-05 18:00:00,0.17214608192443848,0.24908596277236938,0.06904316693544388,0.26571109890937805
w387,2013-11-05 19:00:00,0.167085200548172,0.30431824922561646,0.06616976857185364,0.2651346027851105
w388,2013-11-05 20:00:00,0.1822355091571808,0.2772975564002991,0.06326624751091003,0.26463255286216736
w389,2013-11-05 21:00:00,0.17688514292240143,0.2755913734436035,0.07304001599550247,0.2637702524662018
w390,2013-11-05 22:00:00,0.16644011437892914,0.27953994274139404,0.06939641386270523,0.2631017565727234
w391,2013-11-05 23:00:00,0.17238405346870422,0.25678688287734985,0.06546291708946228,0.26300445199012756
w392,2013-11-06 00:00:00,0.17724543809890747,0.2675691843032837,0.06335331499576569,0.2630402147769928
w393,2013-11-06 01:00:00,0.1696794331073761,0.25841009616851807,0.06275098770856857,0.26282352209091187
w394,2013-11-06 02:00:00,0.180507630109787,0.2691989243030548,0.06187546253204346,0.2627311944961548
w395,2013-11-06 03:00:00,0.2063724398612976,0.27036619186401367,0.06174222752451897,0.26265472173690796
w396,2013-11-06 04:00:00,0.2346707433462143,0.27771225571632385,0.061972882598638535,0.26277169585227966
w397,2013-11-06 05:00:00,0.22016432881355286,0.24793164432048798,0.06180582940578461,0.2629406750202179
w398,2013-11-06 06:00:00,0.22903548181056976,0.25355079770088196,0.06141836196184158,0.2635394334793091
w399,2013-11-06 07:00:00,0.1824817657470703,0.2566491365432739,0.06356203556060791,0.2644082009792328
w400,2013-11-06 08:00:00,0.18153250217437744,0.26451048254966736,0.0591365247964859,0.2654085159301758
w401,2013-11-06 09:00:00,0.17619898915290833,0.2336389422416687,0.059086501598358154,0.2665024399757385
w402,2013-11-06 10:00:00,0.170778289437294,0.28361451625823975,0.0600033737719059,0.2676139175891876
w403,2013-11-06 11:00:00,0.172910675406456,0.27572596073150635,0.061597082763910294,0.2686079740524292
w404,2013-11-06 12:00:00,0.1645701825618744,0.2688255310058594,0.0621439628303051,0.2693690061569214
w405,2013-11-06 13:00:00,0.16552722454071045,0.27250826358795166,0.061934564262628555,0.26981058716773987
w406,2013-11-06 14:00:00,0.16363756358623505,0.27678802609443665,0.06132468953728676,0.2699238061904907
w407,2013-11-06 15:00:00,0.15238013863563538,0.2554091215133667,0.06047771871089935,0.26973363757133484
w408,2013-11-06 16:00:00,0.1720014214515686,0.2706185579299927,0.059228554368019104,0.269308477640152
w409,2013-11-06 17:00:00,0.1843509078025818,0.26526448130607605,0.06135036051273346,0.26872920989990234
w410,2013-11-06 18:00:00,0.18310123682022095,0.28508397936820984,0.0639214888215065,0.2680433988571167
w411,2013-11-06 19:00:00,0.18813097476959229,0.3072833716869354,0.060682766139507294,0.2673405110836029
w412,2013-11-06 20:00:00,0.19253307580947876,0.2802656888961792,0.05621588975191116,0.2668897211551666
w413,2013-11-06 21:00:00,0.19129575788974762,0.30610212683677673,0.06728199869394302,0.2680538594722748
w414,2013-11-06 22:00:00,0.18661239743232727,0.25210168957710266,0.07133106142282486,0.2650190591812134
w415,2013-11-06 23:00:00,0.1958579272031784,0.25363513827323914,0.07291515916585922,0.2588823437690735
w416,2013-11-07 00:00:00,0.20961077511310577,0.2560763955116272,0.08037403970956802,0.25275421142578125
w417,2013-11-07 01:00:00,0.2049272507429123,0.25671473145484924,0.08706679940223694,0.24503761529922485
w418,2013-11-07 02:00:00,0.22529305517673492,0.24652481079101562,0.09418009966611862,0.23874136805534363
w419,2013-11-07 03:00:00,0.25469768047332764,0.243418350815773,0.1024879515171051,0.23458701372146606
w420,2013-11-07 04:00:00,0.2750246226787567,0.23445923626422882,0.10349602997303009,0.23169364035129547
w421,2013-11-07 05:00:00,0.2582037150859833,0.21445612609386444,0.10661622881889343,0.2322109043598175
w422,2013-11-07 06:00:00,0.2719530761241913,0.24625164270401,0.10617026686668396,0.23510615527629852
w423,2013-11-07 07:00:00,0.24084621667861938,0.23749269545078278,0.11137212812900543,0.23685990273952484
w424,2013-11-07 08:00:00,0.23835331201553345,0.23828952014446259,0.11015381664037704,0.23801575601100922
w425,2013-11-07 09:00:00,0.23376907408237457,0.2426980584859848,0.1103597953915596,0.2388109564781189
w426,2013-11-07 10:00:00,0.2481188178062439,0.23988880217075348,0.11006302386522293,0.23962923884391785
w427,2013-11-07 11:00:00,0.27246859669685364,0.21736973524093628,0.1112881526350975,0.2403917908668518
w428,2013-11-07 12:00:00,0.2808692753314972,0.25101789832115173,0.11124653369188309,0.24096138775348663
w429,2013-11-07 13:00:00,0.27348583936691284,0.2328355610370636,0.10916011035442352,0.24132609367370605
w430,2013-11-07 14:00:00,0.27560606598854065,0.24722592532634735,0.10875961929559708,0.241513192653656
w431,2013-11-07 15:00:00,0.27494096755981445,0.24124577641487122,0.10870566219091415,0.24152585864067078
w432,2013-11-07 16:00:00,0.2898256480693817,0.24066156148910522,0.1105990931391716,0.24138443171977997
w433,2013-11-07 17:00:00,0.295258492231369,0.2433454692363739,0.11283964663743973,0.2411583811044693
w434,2013-11-07 18:00:00,0.31754425168037415,0.2336036115884781,0.11773025989532471,0.24087762832641602
w435,2013-11-07 19:00:00,0.3075781464576721,0.2519148588180542,0.11466435343027115,0.24060972034931183
w436,2013-11-07 20:00:00,0.3104519546031952,0.23955699801445007,0.11122536659240723,0.24080371856689453
w437,2013-11-07 21:00:00,0.29991093277931213,0.23857995867729187,0.11588618159294128,0.24246811866760254
w438,2013-11-07 22:00:00,0.28582942485809326,0.23213079571723938,0.12082467973232269,0.2420901209115982
w439,2013-11-07 23:00:00,0.2850656509399414,0.24944856762886047,0.12635186314582825,0.23923036456108093
w440,2013-11-08 00:00:00,0.29123127460479736,0.23961448669433594,0.13068529963493347,0.2363153100013733
w441,2013-11-08 01:00:00,0.28885382413864136,0.24354693293571472,0.1421077996492386,0.23161830008029938
w442,2013-11-08 02:00:00,0.3043937683105469,0.2207520306110382,0.14728882908821106,0.2282687872648239
